Claim Number;Loss Description;Claim Create Time;AI Loss Cause;AI Damaged Items;AI Place of Occurrence;AI Triage;AI Triage Reasoning;AI Prevailing Document;AI Section/Page Document;AI Coverage (applicable);AI Limit (applicable);AI Reasoning;AI Claim Prediction
HO10026106;Water Damage: Water issue in one of the bathrooms;2023-09-05T12:06:35.870000;water damage;;one of the bathrooms;FALSE;The claim description states 'Water Damage: Water issue in one of the bathrooms,' but does not specify the source of the water issue or detail what was damaged. The vagueness of the claim limits the ability to assess the cause of water damage (e.g., a leak, overflow, or flooding) and the specific items or areas impacted in the bathroom (e.g., walls, flooring, fixtures). Without this critical information, it is not possible to evaluate the claim's viability or extent of damages accurately.;;;;;;
HO10026170;Water Damage: Insured discovered water in basement, wet ceiling tiles;2023-09-07T08:56:06.572000;water damage;ceiling tiles;basement;FALSE;The claim description states 'Water Damage: Insured discovered water in basement, wet ceiling tiles.' While it indicates the presence of water and some damage (wet ceiling tiles), it lacks critical details regarding the source of the water. Without knowing how the water enteredówhether from a plumbing failure, external flooding, or another causeóit is difficult to assess the claim's validity. Additionally, the description does not specify the nature or extent of the damages beyond the wet ceiling tiles, further complicating the evaluation. Therefore, the claim does not provide enough information to proceed.;;;;;;
HO10026171;Water Damage: Insured shower leaked causing damage to walls and ceiling. Insured had drain repaired/replaced and shower continues to leak.;2023-09-07T09:18:29.847000;water damage due to plumbing system;walls, ceiling;bathroom;TRUE;The claim description specifies that water damage is due to a leaking shower, which has caused damage to the walls and ceiling. Each decision confirms that the source of the water is clearly identified, and the damage is concretely described. The thorough identification of the source and the affected areas makes the description valid and adequate for proceeding with the claim evaluation.;HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf, Homeowners-3-Special-Form_HO0003_201105.pdf;HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10;;0;This claim is Excluded under Section I ñ Exclusions as amended by the HO 05 38 05 11 Limited Fungi, Wet or Dry Rot, or Bacteria Additional Coverage endorsement, which replaces Paragraph 2.c.(5) of the HO 00 03 05 11 Homeowners 3 Special Form to exclude loss ìcaused by constant or repeated seepage or leakage of water Ö over a period of weeks, months or years unless such seepage Ö and the resulting damage is unknown to all ëinsuredsí and is hidden within the walls or ceilingsî (HO 05 38 05 11, Section I A.2.c.(5), p. 2). The insured was aware of the ongoing shower leak and the resulting damage was not hidden, triggering the exclusion.;FALSE
HO10026464;Water Damage: Stapleton had electrical problems a week and a half ago, had an electrician come over, and determined it was likely a malfunctioning outlet in the basement. The electrician asked Stapleton to move the furniture away from wall. When she moved the couch, it was covered in white mold, smells really bad, and the paneling was ruined. Stuff is damp in the basement. Insd sprayed it with bleach water bottle.;2023-09-11T13:58:15.959000;water damage;couch, paneling;basement;TRUE;The claim description specifies that water damage arose from a malfunctioning electrical outlet located in the basement. This resulted in significant mold growth on a couch and damage to the paneling due to moisture accumulation. The insured took proactive steps by using a bleach solution to address the mold and described the unpleasant smell and damp conditions found in the basement, all of which support the assertion of substantial water-related damage. Thus, the description adequately identifies both the source of the water damage and the corresponding damages, confirming sufficient information to proceed with the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 2;;0;This claim is Excluded under Section I ñ Exclusions c.(5) of the HO 00 03 05 11 Homeowners 3 Special Form, which bars coverage for mold, fungus or wet rot unless the loss is hidden within the structure and results from the accidental discharge or overflow of water or steam from a covered system, and further excluded by the HO 05 38 05 11 Limited Fungi, Wet or Dry Rot, or Bacteria Coverage ñ Massachusetts endorsement, which replaces that exception to bar coverage for damage caused by constant or repeated seepage, humidity or moisture unless the damage is both unknown to the insured and hidden within walls or ceilings. The white mold on the couch and paneling was visible, developed over time from persistent dampness, and was not caused by any covered sudden accidental discharge, so no coverage applies.;FALSE
HO10026497;Water Damage: Basement is wet and even seeping into the finished part. Rug is soaking and we're trying to prevent more damage this evening.;2023-09-11T21:12:14.404000;water damage;rug;basement;FALSE;The claim description indicates water damage in the basement, specifying that water is seeping into the finished part and that a rug is soaking. However, it does not identify the source of the water that caused these conditions, which is essential for evaluating the claim. An ideal claim description should clearly state how the water entered the basement, such as through a leak or flooding, providing crucial context for assessing the situation. Therefore, the lack of this information prevents the claim from meeting the necessary criteria for progression.;;;;;;
HO10026498;Water Damage: Basement got flooded;2023-09-11T21:23:30.173000;water damage;;basement;FALSE;The claim description states, 'Water Damage: Basement got flooded.' However, it lacks critical details on the source of the flooding and specifics about what was damaged in the basement. For a valid claim description, it should clearly indicate how the water entered the basement (for example, through a burst pipe or heavy rainfall) and delineate the specific items affected (such as wet carpets, damaged walls, or personal belongings). Without this information, the claim cannot proceed as it fails to meet the essential requirements for sufficient detail as prescribed by industry standards.;;;;;;
HO10026499;Water Damage: flash flooding flooded our back yard to the point of rushing trough cellar door to flood basement with approximately 6-8 inches of water with damage to furnace, refrigerator, washer and dryer along with other items stored in the basement;2023-09-11T23:19:04.850000;flood;furnace, refrigerator, washer, dryer, other stored items in the basement;basement;TRUE;The claim description identifies the cause of water damage as flash flooding, with specifics on the event indicating that water flowed through the cellar door and flooded the basement up to approximately 6-8 inches. It details the damaged items, including a furnace, refrigerator, washer, dryer, and various personal belongings stored in the basement. This comprehensive information effectively satisfies the criteria necessary to advance with the claim, clearly outlining both the water source and the extent of the damages incurred.;Homeowners-3-Special-Form_HO0003_201105.pdf, Limited-Water-Back-Up_HO0495_201401.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Limited-Water-Back-Up_HO0495_201401.pdf - page 1;;0;This claim is Excluded under Section I ñ Exclusions A.3 Water of the HO 00 03 05 11 Homeowners 3 Special Form (page 12), which expressly excludes loss caused by ìflood, surface water Ö overflow of any body of water.î The Limited Water Back-up and Sump Discharge or Overflow Coverage endorsement HO 04 95 01 14 (Section C.1.a, page 1) restricts coverage to water backing up through sewers or drains or overflowing from a sump pump or related equipment and expressly excludes flood or surface water, confirming no coverage applies for flash flooding through a cellar door.;FALSE
HO10026513;Water Damage: Water coming up through basement, floor in living area, water coming down chimney, ruin insulation, hardwoods floors are damaged. Sheetrock on walls in laundry room was wet and his office space.;2023-09-12T08:23:19.189000;water damage;insulation, hardwood floors, sheetrock walls;Basement (living area), laundry room, and office space;TRUE;The claim description indicates that water is coming from multiple sources, specifically the basement and the chimney, resulting in water damage to the insulation, hardwood floors, and wet sheetrock in both the laundry room and office space. This comprehensive detailing meets the critical requirements for evaluating the validity of the claim, as it includes both the sources of water intrusion and the specific damages incurred.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 13, Homeowners-3-Special-Form_HO0003_201105.pdf - page 11;;0;This claim is Excluded under Section I ñ Exclusions, Water, A.3.c of the HO 00 03 05 11 Homeowners 3 Special Form (page 13), which expressly excludes ìwater below the surface of the ground, including water whichÖseeps, leaks or flows through a building.î The reported water intrusion through the basement floor and down the chimney is groundwater seepage, not an accidental discharge from within a plumbing, heating or household appliance system as defined under Peril 12 ñ Accidental Discharge Or Overflow Of Water Or Steam (page 11). No Water Back-Up and Sump Discharge/Overflow Endorsement appears on the policy Declarations to reinstate coverage for this type of loss.;FALSE
HO10026529;Water Damage: The basement flooded due to extreme rains over three days. I had been cleaning up about an inch of wayer today and day before.  After working all day today heavy afternoon into evening rains overwhelmed our sump pumps.;2023-09-12T09:25:30.770000;flood;;basement;TRUE;The claim description states that water damage occurred in the basement due to heavy rains over three days, which overwhelmed the sump pumps. This clearly identifies both the source of water (extreme rains) and the affected area (basement flooding), effectively fulfilling the necessary requirements for valid claim submission. The ongoing cleanup effort described reinforces this by highlighting the impact of the water intrusion and the extent of the damage, as evidenced by 'about an inch of water' being managed in the cleanup process. Therefore, the details provided in the claim description are sufficient to proceed.;Homeowners-3-Special-Form_HO0003_201105.pdf, Advantage_CIC-964_202001.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, Advantage_CIC-964_202001.pdf - page 3;Covered by Endorsement;2500;This claim is Covered by the Water Back Up and Sump Overflow Additional Coverage under the CIC-964-01-20 Advantage Endorsement, Section I Additional Coverages 16 ñ Water Back Up and Sump Overflow (page 3), which reinstates coverage up to $2,500 for direct physical loss caused by water that overflows from a sump pump even if due to mechanical breakdown. The Homeowners 3 Special Form (HO 00 03 05 11 Homeowners 3 ñ Special Form), Section I ñ Exclusions, A.3.b.(2) (page 12) ordinarily excludes loss from sump pump overflow but is superseded by this endorsement.;TRUE
HO10026549;Water Damage: FLOODED BASEMENT AND GARAGE;2023-09-12T10:24:43.193000;water damage;basement, garage;basement and garage;FALSE;The claim description provided states 'Water Damage: FLOODED BASEMENT AND GARAGE,' but it is insufficient as it lacks critical details regarding the source of the water causing the flooding. To make the claim valid, it is essential to know whether the flooding was due to an external factor such as heavy rain, a plumbing failure, or another cause. Furthermore, the description does not clarify the extent of the damage within the basement and garage, such as what specific items or structures were affected. Without this detailed context, including the nature of the source of the water and the scope of damages, the claim cannot proceed.;;;;;;
HO10026560;Water Damage: Rain water inside basement;2023-09-12T10:59:25.576000;water damage;;basement;FALSE;The claim description indicates that there is water damage caused by rainwater in the basement, but it lacks crucial details. Specifically, it does not explain how the rainwater entered the basement, nor does it provide information about what was damaged or affected inside. Without a clear understanding of the mechanism of water intrusion and the specific damages, the claim cannot be deemed adequate to proceed.;;;;;;
HO10026588;Water Damage: Insured came home and found around three inches of water in his basement. Sump pump isn't properly working.;2023-09-12T12:24:45.147000;water damages due to appliance failure;basement floor;basement;TRUE;The claim description reports that the insured came home to discover approximately three inches of water in the basement, which is attributed to a malfunctioning sump pump. This articulation identifies both the source of the water, namely the defective sump pump, and highlights the affected area, which is clearly the basement. The specifics regarding the water level are substantial, as they illustrate the extent of the flooding, thereby meeting the requirements for a valid water damage claim. Overall, the description sufficiently captures the situation, allowing the claim to proceed without ambiguity.;Advantage_CIC-964_202001.pdf, Homeowners-3-Special-Form_HO0003_201105.pdf;Advantage_CIC-964_202001.pdf - page 3, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;Covered by Endorsement;2500;This claim is Covered by the Water Back Up and Sump Discharge Overflow Additional Coverage under the CIC-964 01 20 Advantage Endorsement (Additional Coverage 16 ñ Water Back Up and Sump Overflow, Section I.E.16, page 3) up to $2,500 per occurrence. While Section I.A.3.b.(2) of the HO 00 03 05 11 Homeowners 3 Special Form excludes loss caused by ìwater which overflows or is otherwise discharged from a sump, sump pump or related equipmentî (page 12), the Advantage Endorsement specifically reinstates coverage for water overflow from a sump pump even if due to mechanical breakdown.;TRUE
HO10026657;"Water Damage due to Plumbing System: The common waste pipe on the building is probably leaking; the management has called Miltown plumbing and heating to start the mitigation. Her unit has been flooded and there's damage to some property.";2023-09-13T09:34:16.268000;water damage due to plumbing system;;Tenantís unit;TRUE;The claim description indicates that water damage is caused by a leaking common waste pipe in the building, which is recognized as the source of water intrusion. It specifies that the insured's unit has been flooded and that there is damage to property, meeting the requirements to identify both the source of the water and the damage incurred. The information about the management contacting a plumbing service for mitigation further supports the credibility of the claim, demonstrating that action is being taken to address the issue.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 10;Coverage A;50000;This claim is Covered under Coverage A ñ Dwelling up to the $50,000 limit per the Unit-Owners Coverage A, Special Coverage Form HO 17 32 02 17. Section I ñ Exclusions, Exception to c.(6) (page 2) expressly provides: ìUnless the loss is otherwise excluded, we cover loss to property covered under Coverage A resulting from an accidental discharge or overflow of water or steam from within a storm drain, or water, steam or sewer pipe, off the ëresidence premises.íî This applies directly to the common waste (sewer) pipe leak. Furthermore, Section I ñ Perils Insured Against, Peril 12 (ìAccidental Discharge Or Overflow Of Water Or Steamî) of the Homeowners 6 Unit-Owners Form HO 00 06 05 11 (page 10) confirms coverage for sudden and accidental discharge of water from within the insuredís plumbing system, including the cost to tear out and replace parts of the building to repair the system.;TRUE
HO10026800;Water Damage: WASHINGTON advised there is damage to his driveway caused by the storm on 9/11 bringing 8-9 inches of rain in one hour.;2023-09-15T12:09:12.229000;water damage;driveway;driveway;TRUE;The claim description indicates water damage to the driveway attributed to a storm, specifying that on 9/11, 8-9 inches of rain fell within one hour. This satisfies the criteria for a valid claim by clearly identifying both the source of water (the storm) and the affected area (the driveway). The specificity in detailing the storm's intensity and its impact on the driveway corroborates the claim's validity, providing sufficient reasoning to proceed with the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 9, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;;0;This claim is Excluded under Section I ñ Exclusions, A.3.a and A.3.c, of the Homeowners Special Form HO 00 03 05 11. Section I.A.3.a (page 12) excludes loss caused by ìflood, surface water, wavesÖ overflow of any body of waterÖ whether or not driven by wind,î and Section I.A.3.c (page 12) further excludes damage from ìwater below the surface of the groundÖ seeps, leaks or flows throughÖ driveway.î Storm-driven surface runoff and ground saturation during the September 11 event therefore fall squarely within these exclusions and are not covered.;FALSE
HO10026804;Water Damage: 2 floors above Kassler they have a toilet flood situation and that incident cause damages on Kassler bathroom ceiling;2023-09-15T13:17:38.937000;water damage due to plumbing system;bathroom ceiling;Kasslerís bathroom ceiling;TRUE;The claim description specifies a 'toilet flood situation' occurring two floors above the affected property. This incident has caused damage to the 'Kassler bathroom ceiling,' clearly identifying both the source of the water (the toilet flood) and the area impacted (the bathroom ceiling). This alignment with standard claims handling procedures confirms that the description provides sufficient information to proceed.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, Unit-Owners-Coverage-A_HO1732_201702.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2;Coverage A;180000;This claim is Covered under Coverage A - Dwelling up to the policy limit of $180,000. The Homeowners 6 Unit-Owners Form HO 00 06 05 11, Section I ñ Peril 12 (Accidental Discharge Or Overflow Of Water Or Steam), page 9, insures against accidental overflow of water from within a plumbing system (including toilet overflows). The Unit-Owners Coverage A Special Coverage Form HO 17 32 02 17, Exception to c.(6), page 2, provides that any ensuing damage to Coverage A property from such a discharge is covered. No exclusion for sump pump or groundwater intrusion applies because the loss originated from standard plumbing on the residence premises.;TRUE
HO10026841;Water Damage: Basement flooded under back door. This is now a regular occurrence whenever we have a heavy rainfall, despite having installed an exterior drain and a dry well.;2023-09-17T14:05:34.805000;flood;basement;basement under back door;TRUE;The claim description indicates water damage due to flooding in the basement under the back door, which is a recurring issue during heavy rainfall. This establishes the source of water as heavy rainfall leading to flooding, and the affected area as the basement. Moreover, the mention of attempts to mitigate the flooding with an exterior drain and dry well indicates that this is not an isolated incident but a persistent problem affecting the property. Although the descriptions do not specify personal property damage, they clearly lay out the conditions and location of the water damage, aligning with industry standards for proceeding with such claims.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 12, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 1;;0;This claim is Excluded under Section I ñ Exclusions A.3.a and A.3.c of the HO 00 03 05 11 Homeowners 3 Special Form. Exclusion A.3.a on page 12 excludes loss caused by ìflood, surface water, wavesÖ overflow of any body of water,î and Exclusion A.3.c on page 12 excludes loss caused by ìwater below the surface of the ground, including water whichÖ seeps, leaks or flows through a buildingÖ foundation.î Recurring basement flooding under the back door during heavy rainfall falls squarely within these surface-and-groundwater exclusions.;FALSE
HO10026852;Water Damage: Asphalt tile roof is damaged by winds and heavy rains, several rooms have ceiling stains, no collapses.;2023-09-18T09:13:59.693000;water damage;asphalt tile roof, ceilings;asphalt tile roof and interior ceilings of several rooms;TRUE;The claim description indicates that water damage has resulted from a damaged asphalt tile roof due to winds and heavy rains, causing noticeable ceiling stains in several rooms. This information establishes a clear source of water intrusion and details the affected areas within the property. The evidence supports proceeding with the claim as it corresponds with established criteria for documenting both the origin of the water damage and the resulting impact on the structure.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 3, Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 12;Coverage A, Coverage C;604330;"This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $355,488 for direct physical loss caused by windstorm under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Property Coverages, Coverage A; and Covered under Coverage C ñ Personal Property up to the policy limit of $248,842 for ensuing water damage when wind-driven rain entered through a wind-created opening in the roof under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Perils Insured Against, Coverage C, Peril 2 Windstorm or Hail. The Water exclusion in Section I ñ Exclusions, A.3 does not apply to rain intrusion through a wind-created opening.";TRUE
HO10026889;Water Damage: Gemma water service line to home broke and water came into  basement started from utility room carpet wet;2023-09-18T14:20:29.233000;water damage due to plumbing system;basement carpet;Utility room in the basement;TRUE;The claim description provides sufficient details indicating that water damage occurred from a broken Gemma water service line, with water entering the basement and affecting the utility room carpet. The clear identification of both the source of the water and the specific area impacted aligns with the requirements for proceeding with the claim, demonstrating that adequate information is provided for evaluation.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 10;Coverage A;498090;This claim is Covered under Coverage A - Dwelling up to the policy limit of $498,090 under Section I ñ Perils Insured Against, Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî of HO 00 03 05 11 Homeowners 3 Special Form (page 11), with coverage preserved by the Exception to Section I ñ Exclusion A.3 paragraphs a. and c. in clause c.(6) on page 10, which expressly covers accidental discharge from water pipes off the premises or plumbing systems on the premises.;TRUE
HO10026891;Water Damage due to Plumbing System: Downstairs neighbor has water damage, Uglova isn't sure where the leak is coming from. Workers opened ceiling and said sub floor under Uglova is damaged but not visible from her end.;2023-09-18T14:25:29.987000;water damage due to plumbing system;sub floor;Downstairs neighbor's unit ceiling/subfloor area;TRUE;The claim describes water damage due to a plumbing issue, specifically affecting a downstairs neighbor, with reliable indications of damage identified in the subfloor under Uglova's unit. The workers' report of opened ceilings confirming subfloor damage, although not directly visible from Uglova's perspective, supports the understanding that significant damage has resulted from the plumbing leak. This fulfills the necessary criteria of having both a recognized source of water and identified property damage, allowing for the claim to proceed for further investigation of the cause and extent of damage.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, Unit-Owners-Coverage-A_HO1732_201702.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 4, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2;Coverage A;50000;This claim is Covered under Coverage A ñ Dwelling up to the $50,000 policy limit under the Homeowners 6 Unit-Owners Form (HO 00 06 05 11), Section I ñ Peril 12 ìAccidental Discharge Or Overflow Of Water Or Steamî (p. 9), which insures sudden and accidental discharge of water from a plumbing system and expressly excludes Section I ñ Exclusion 3.a and 3.c limitations for losses covered under this peril. The ensuing hidden subfloor damage is insured under the Unit-Owners Coverage A Special Coverage Form (HO 17 32 02 17), Exception to c.(6) (pp. 2, 4), which provides that any ensuing loss to Coverage A property, including mold, fungus or wet rot beneath the floors resulting from such discharge, is covered and includes tear-out and replacement necessary to repair the system. Coverage E ñ Personal Liability is available up to $500,000 for the downstairs neighborís property damage.;TRUE
HO10026937;Water Damage: wash machine hose / drain let go causing water to escape and damage floors, walls and ceiling and possible fire alarm damage.;2023-09-19T12:47:24.615000;water damages due to appliance failure;floors, walls, ceiling, fire alarm;laundry room;TRUE;The claim describes water damage caused by a washing machine hose that let go, leading to damage to the floors, walls, and ceiling, and possible damage to a fire alarm. This description clearly identifies the source of water (washing machine hose) and specifies the damaged areas (floors, walls, ceiling, and potential fire alarm), aligning with the requirements for a valid claim. The claim description provides sufficient detail and satisfies the criteria for proceeding.;Homeowners-3-Special-Form_HO0003_201105.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 11, Homeowners-3-Special-Form_HO0003_201105.pdf - page 9;Coverage A;586254;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $586,254 under the HO 00 03 05 11 Homeowners 3 Special Form. Section I ñ Perils Insured Against, Peril 12 at page 11 expressly includes ìaccidental discharge or overflow of water Ö from within a household appliance,î thereby encompassing the washing machine hose failure. Section I ñ Exclusions, Water (Exclusion A.3) at page 11 clarifies that exclusions for surface water and groundwater do not apply to water losses covered by Peril 12. Section I ñ Coverage A at page 9 insures direct physical loss to the dwelling, including damage to floors, walls, ceilings and attached fixtures such as the fire alarm.;TRUE
HO10026986;Water Damage due to Plumbing System: Vellante states he decided to replace the tile and paint in his bathroom he noticed peeling on the ceiling. They painted Saturday and Sunday the paint was peeling again so he drilled a 1 inch hole and it was all wet. He talked to his upstairs neighbor upstairs. Neighbor called the plumber and he checked it and flushed the toilet and the water started to come into his bathroom.;2023-09-20T14:06:42.922000;water damage due to plumbing system;bathroom ceiling drywall, ceiling paint;Bathroom ceiling;TRUE;The claim clearly indicates that water damage occurred in the bathroom due to plumbing issues stemming from the upstairs neighbor's toilet, which was confirmed when the insured drilled a hole and discovered wet conditions. It notes that the insured observed peeling paint, indicating prior and ongoing damage to the bathroom's ceiling. The interaction with the upstairs neighbor further corroborates the plumbing system as the source of the water intrusion, fulfilling the requirements for a valid claim description by specifying both the source and the affected area.;Unit-Owners-Coverage-A_HO1732_201702.pdf, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf;Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9;Coverage A;30000;This claim is Covered under Coverage A ñ Dwelling up to the policy limit of $30,000. The accidental discharge or overflow of water from the upstairs toilet into the insuredís bathroom is an insured peril under the Unit-Owners Coverage A Special Coverage Form (HO 17 32 02 17), Section I ñ Exclusions, Exception to c.(6) (page 2), which states, ìUnless the loss is otherwise excluded, we cover loss to property covered under Coverage A resulting from an accidental discharge or overflow of water or steam from within Ö a plumbing Ö system Ö on the ëresidence premises.íî This is further defined as a covered peril by the Homeowners 6 Unit-Owners Form (HO 00 06 05 11), Section I ñ Perils Insured Against, Peril 12 (page 9), which confirms that ìaccidental discharge or overflow of water or steam from within a plumbing Ö systemî is insured and that tear-out and replacement necessary to repair the source are included. No exclusion applies to a sudden plumbing overflow from an adjacent unit.;TRUE
HO10027009;Water Damage: dishwasher - drain out the back, piece was broken and water drained out back thru ceiling and garage. now concerned with mold;2023-09-21T11:12:05.057000;water damages due to appliance failure;ceiling, garage;kitchen ceiling and garage;TRUE;The claim description notes that water damage occurred from a broken dishwasher, which caused water to drain through the ceiling and into the garage, raising concerns about potential mold. This clearly identifies the source of the water damage and specifies the affected areas, thus providing sufficient information to proceed with the claim.;Homeowners-3-Special-Form_HO0003_201105.pdf, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf;Homeowners-3-Special-Form_HO0003_201105.pdf - page 10, HO0538-0511-LimitedFungi-WetOrDryRot-OrBacteria.pdf - page 1;Coverage A, Coverage B;635426;This claim is Covered under Coverage A ñ Dwelling (and Coverage B ñ Other Structures where applicable) for the accidental discharge of water from a household appliance under HO 00 03 05 11 Homeowners 3 Special Form, Section I ñ Exception to Exclusion c.(6), page 10. Mold resulting from this covered water discharge is Covered under the Limited Fungi, Wet or Dry Rot, or Bacteria Additional Coverage endorsement HO 05 38 05 11, Section I E.13, page 1, subject to its scheduled sublimit.;TRUE
HO10027092;Water Damage: Water sprinkler leak, the association opened the wall and repaired it. Weeks later i noticed the floorboards around the wall warping a little. Talked to the building manager, to a contractor, determined i needed to file a claim;2023-09-25T13:33:30.169000;water damage due to plumbing system;floorboards;floorboards adjacent to the repaired wall inside the residence;TRUE;The claim description outlines that the water damage stems from a water sprinkler leak. The association took appropriate action by opening the wall and performing repairs. Weeks later, the insured observed warping in the floorboards around the affected area, which indicates damage caused by the water leak. This description clearly identifies both the source of the water damage and the specific area that has been impacted, fulfilling the necessary requirements to proceed with the claim.;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf, Unit-Owners-Coverage-A_HO1732_201702.pdf;Homeowner-6-Unit-Owners-Form_HO0006_201105.pdf - page 9, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 2, Unit-Owners-Coverage-A_HO1732_201702.pdf - page 4;Coverage A;25000;This claim is Covered under Coverage A ñ Dwelling up to the $25,000 Coverage A limit. Section I ñ Perils Insured Against, Peril 12 of the Homeowners 6 Unit-Owners Form HO 00 06 05 11 (page 9) expressly covers accidental discharge or overflow of water or steam from an automatic fire protective sprinkler system. Unit-Owners Coverage A Special Coverage Form HO 17 32 02 17, Section I(c)(5) (page 2) further insures loss caused by mold, fungus or wet rot hidden within or beneath floors if resulting from such a discharge, and the Exception to Exclusion c.(6) (page 4) restores coverage for any ensuing lossóincluding warping of floorboardsóstemming from that accidental discharge.;TRUE
HO10027108;Water Damage: Duprey noticed a roof leak on the right side top floor of the home. Duprey does not know where the water is coming from but believes it may be weather related.;2023-09-25T15:57:36.739000;water damage;;right side top floor of the home (roof);FALSE;The claim description indicates there is a roof leak on the right side of the top floor of Duprey's home, stemming from an unspecified source. Duprey believes the leak may be weather-related, but the description does not identify the exact cause of the water intrusion nor clarify what has been damaged as a result. This lack of detailóspecifically regarding the source of the leak and the extent of any damageómeans the claim does not meet the necessary criteria for proceeding. It is essential for claim validation to have clarity on both the water source and the specific damages incurred.;;;;;;
HO10027119;Water Damage: blacktop driveway damage on Hancock street. large 1.5 diameter hole over 1 foot deep and 3 other depressions.;2023-09-26T09:45:02.247000;water damage;blacktop driveway;blacktop driveway on Hancock Street;FALSE;The claim description indicates damage to a blacktop driveway due to water, specifically mentioning a large hole and depressions. However, it does not specify the source of the water causing this damage, which is crucial for validating the claim. For a water damage claim to proceed, it is essential to understand how the water damage occurred, such as through a storm, plumbing failure, or another significant event. Without this necessary detail regarding the source of water, further exploration of the claim cannot be conducted.;;;;;;
